Manufacturer,Name,Price (in Rupees),Compatible networks,Release Date,OS,Chipset,CPU,GPU,Memory (in GB),Storage (in GB),SIM,Battery (in mAh),Charging (in Watts),Display Size (in Inches),Display Type,Refresh Rate,Sound,Rear Camera (in MP),Front Camera (in MP),Connectivity,Water resistance
Asus,Asus ZenFone 9,47990,2G / 3G / 4G LTE / 5G,2022-09-15,Android 12,Snapdragon 8+ Gen 1 (4 nm),Octa-core (1x3.19 GHz Cortex-X2 & 3x2.75 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510),Adreno730,16,256,Dual SIM,4300,30.0,5.9,Super AMOLED,120,Stereo Speakers,50,12,"Wi-Fi 6e, dual-band, Wi-Fi Direct, DLNA, hotspotBluetooth 5.2, A2DP, LE, aptX HD, aptX Adaptive, LDAC",IP68
Xiaomi,Black Shark 5,42090,2G / 3G / 4G LTE / 5G,2022-03-30,Android 12,Black Shark 5:Snapdragon870 5G (7 nm)Black Shark 5 Pro:Snapdragon8 Gen 1 (4 nm)Black Shark 5 RS:Snapdragon888/888+ 5G (5 nm),Black Shark 5:Octa-core (1x3.2 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.80 GHz Kryo 585)Black Shark 5 Pro:Octa-core (1x3.00 GHz Cortex-X2 & 3x2.40 GHz Cortex-A710 & 4x1.70 GHz Cortex-A510)Black Shark 5 RS:Octa-core (1x2.84/3.0 GHz Kryo 680 & 3x2.42 GHz Kryo 680 & 4x1.80 GHz Kryo 680),Black Shark 5:Adreno650Black Shark 5 Pro:Adreno730Black Shark 5 RS:Adreno660,12,512,Dual SIM,4650,120.0,6.67,Super AMOLED,144,Stereo Speakers,64,16,"Wi-Fi 6, dual-band, Wi-Fi Direct, hotspotBluetooth 5.2, A2DP, LE, aptX HD, aptX AdaptiveA-GPS, GLONASS, GALILEO, QZSS, BDS",IP68
HTC,HTC Desire 22 Pro,31890,2G / 3G / 4G LTE / 5G,2022-07-01,Android 12,Qualcomm SM6375 Snapdragon 695 5G,Snapdragon 695,Adreno619,8,128,Dual SIM,4250,18.0,6.6,IPS LCD,120,Loudspeaker,64,32,"Wi-Fi 6, dual-band, Wi-Fi Direct 5.1, A2DP, LE GPS, GLONASS, GALILEO, BDS",IP67
Huawei,Huawei Mate 50,56990,2G / 3G / 4G LTE,2022-09-28,HarmonyOS3,Qualcomm SM8425 Snapdragon 8+ Gen 1 4G (4 nm),Octa-core (1x3.19 GHz Cortex-X2 & 3x2.75 GHz Cortex-A710 & 4x2.0 GHz Cortex-A510),Adreno730,12,512,Dual SIM,4460,66.0,6.7,OLED ,120,Stereo Speakers,50,13,"Wi-Fi 6, dual-band, Wi-Fi Direct, hotspotBluetooth	5.2, A2DP, LE",IP68
Apple,iPhone 14,67990,2G / 3G / 4G LTE / 5G,2022-09-16,iOS 17.2,Apple A15,Hexa-core (2x3.23 GHz Avalanche + 4x2.02 GHz Blizzard),Apple-designed 5-core,6,512,eSIM,3279,20.0,6.1,Super Retina XDR OLED,60,Stereo Speakers,12,12,"Wi-Fi 6 dual-band,Bluetooth 5.3(A2DP,LE),Ultra-wideband(UWB)",IP68
Apple,iPhone 14 Plus,72999,2G / 3G / 4G LTE / 5G,2022-09-16,iOS 17.2,Apple A15,Hexa-core (2x3.23 GHz Avalanche + 4x2.02 GHz Blizzard),Apple-designed 5-core,6,512,eSIM,4325,20.0,6.7,Super Retina XDR OLED,60,Stereo Speakers,12,12,"Wi-Fi 6 dual-band,Bluetooth 5.3(A2DP,LE),Ultra-wideband(UWB)",IP68
Apple,iPhone 14 Pro,119990,2G / 3G / 4G LTE / 5G,2022-09-16,iOS 17.2,A16 Bionic,Hexa-core (2x3.46Â GHz Everest + 4x2.02Â GHz Sawtooth),Apple-designed 5-core,6,512,eSIM,4500,20.0,6.1,Super Retina XDR OLED,120,Stereo Speakers,48,12,"Wi-Fi 6, dual-band, hotspotBluetooth 5.3, LE, LEO Satellite provided by Globalstar (Limited to emergencies in some countries only)",IP68
Apple,iPhone 14 Pro Max,127999,2G / 3G / 4G LTE / 5G,2022-09-16,iOS 17.2,A16 Bionic,Hexa-core (2x3.46Â GHz Everest + 4x2.02Â GHz Sawtooth),Apple-designed 5-core,6,512,eSIM,4500,20.0,6.7,Super Retina XDR OLED,120,Stereo Speakers,48,12,"Wi-Fi 6, dual-band, hotspotBluetooth 5.3, LE, LEO Satellite provided by Globalstar (Limited to emergencies in some countries only)",IP68
Apple,iPhone SE (3rd Generation),49900,2G / 3G / 4G LTE,2022-03-18,iOS 17.2,Apple A15 Bionic,"Hexa-core, 3.22Â GHz, 2x Avalanche and 4x Blizzard",Apple-designed quad-core,4,256,eSIM,2018,18.0,4.7,IPS LCD,60,Stereo Speakers,12,7,"Near-field communication (NFC),Lightning connector,Bluetooth 5.0,Wi-Fi 6(802.11ax),Voice over LTE (VoLTE),Wiâ€‘Fi calling,GPS,GNSS, Express Cards with power reserve",IP67
Motorola ,Moto Edge 30,23499,2G / 3G / 4G LTE / 5G,2022-01-24,Android 12,Edge 30:Qualcomm Snapdragon778G+Edge 30 Pro: Qualcomm Snapdragon 8 Gen 1Edge 30 Ultra: Qualcomm Snapdragon 8+ Gen 1Edge 30 Fusion: Qualcomm Snapdragon 888+Edge 30 Neo: Qualcomm Snapdragon 695 5G,"Octa-core,Edge 30: (1x 2.5 GHz Kryo 670 + 3x 2.4 GHz Kryo 670 + 4x 1.8 GHz Kryo 670)Edge 30 Pro: (1x 3.0 GHz Cortex-X2 + 3x 2.5 GHz Cortex-A710 + 4x 1.8 GHz Cortex-A510)Edge 30 Ultra: (1x 3.19 GHz Cortex-X2 + 3x 2.75 GHz Cortex-A710 + 4x 1.8 GHz Cortex-A510)Edge 30 Fusion: (1x 2.99 GHz Cortex-X1 + 3x 2.42 GHz Cortex-A78 + 4x 1.8 GHz Cortex-A55)Edge 30 Neo: (2x 2.2 GHz Kryo 660 Gold + 6x 1.7 GHz Kryo 660 Silver)",Edge 30:Adreno642LEdge 30 Pro/Ultra: Adreno 730Edge 30 Fusion: Adreno 660Edge 30 Neo: Adreno 619,12,512,Dual SIM,4020,120.0,6.5,OLED ,120,Stereo Speakers,50,32,"Wi-Fi802.11a/b/g/n/ac/6e (2.4 & 5 GHz), dual-band, WiFi direct, hotspot,Bluetoothv5.2,A2DP, Low-energy",None
Nothing,Nothing Phone 1,31000,2G / 3G / 4G LTE / 5G,,Android 13,Qualcomm Snapdragon 778G+[2],Octa-core (1x2.5 GHz Cortex-A78 & 3x2.4 GHz Cortex-A78 & 4x1.9 GHz Cortex-A55),Adreno642L,12,256,Dual SIM,4500,33.0,6.55,OLED ,120,Stereo Speakers,48,12,Bluetooth 5.2Wi-Fia/b/g/n/ac/ax,IP53
OnePlus,OnePlus 10 Pro,49999,2G / 3G / 4G LTE / 5G,2022-01-11,Android 12,Qualcomm Snapdragon8 Gen1(4 nm),Octa-core (1x3.00 GHzCortex-X2& 3x2.50 GHzCortex-A710& 4x1.80 GHzCortex-A510),Adreno730,12,512,Dual SIM,5000,80.0,6.7,AMOLED,120,Stereo Speakers,48,32,"Wi-Fi802.11 a/b/g/n/ac/6,dual-band,Wi-Fi Direct, hotspotBluetooth5.2, A2DP, LE, aptX HD",IP68
OnePlus,OnePlus 10T,39999,2G / 3G / 4G LTE / 5G,2022-08-06,Android 12,Qualcomm Snapdragon8+ Gen 1 (4 nm),Octa-core (1x3.19 GHz Cortex-X2 & 3x2.75 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510),Adreno730,16,256,Dual SIM,4800,150.0,6.7,AMOLED,120,Stereo Speakers,50,16,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi DirectBluetooth	5.2, A2DP, LE, aptX HD",None
OnePlus,OnePlus Ace,28990,2G / 3G / 4G LTE / 5G,2022-04-26,Android 13,Ace/Ace Racing:MediaTekDimensity 8100-Max (5 nm)Ace Pro:Qualcomm Snapdragon8+ Gen 1 (4 nm),Ace/Ace Racing:Octa-core (4x2.85 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55)Ace Pro:Octa-core (1x3.19 GHz Cortex-X2 & 3x2.75 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510),Ace/Ace Racing:Mali-G610 MC6Ace Pro:Adreno730,16,512,Dual SIM,4500,150.0,6.7,OLED,120,Stereo Speakers,50,16,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi DirectBluetooth	5.2, A2DP, LE",IP67
Oppo,Oppo Find X5,84490,2G / 3G / 4G LTE / 5G,2022-02-24,Android 12,Find X5:Qualcomm Snapdragon888Find X5 Pro Dimensity Edition:MediaTek Dimensity 9000Find X5 Pro: Qualcomm Snapdragon 8 Gen 1Find X5 Lite:MediaTek MT6877 Dimensity 900 (6 nm),"Octa-core,Find X5: (1x 2.84Â GHzKryo680 & 3x 2.42Â GHz Kryo 680 & 4x 1.8Â GHz Kryo 680)Find X5 Pro: (1x 3.0Â GHz Cortex-X2 & 3x 2.5Â GHz Cortex A710 & 4x 1.8Â GHz Cortex A510)Find X5 Lite:Octa-core (2x2.4 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55)",Find X5:Adreno660Find X5 Pro:Adreno730Find X5 Lite:Mali-G68 MC4,12,512,eSIM,4500,18.0,6.55,AMOLED,120,Stereo Speakers,64,12,"Bluetooth 5.2Wi-Fia/b/g/n/ac/6eA2DP, LE, aptX HD",IP68
Google,Pixel 6a,25999,2G / 3G / 4G LTE / 5G,2022-07-21,Android 13,Google Tensor(5 nm),Octa-core (2x2.80Â GHz Cortex-X1 & 2x2.25Â GHz Cortex-A76 & 4x1.80Â GHz Cortex-A55),Mali-G78 MP20,6,128,eSIM,4410,18.0,6.1,AMOLED,90,Stereo Speakers,12,12,Wi-Fi 6E+ HE160 +MIMOBluetooth 5.2NFCGoogle CastGNSS(GPS/GLONASS/Galileo/QZSS)USB-C 3.1,IP67
Google,Pixel 7,45999,2G / 3G / 4G LTE / 5G,2022-10-13,Android 13,Google Tensor G2,Octa-core (2x2.85 GHz Cortex-X1 & 2x2.35 GHz Cortex-A78 & 4x1.80 GHz Cortex-A55),Mali-G710 MP7,12,512,eSIM,4500,23.0,6.3,AMOLED,120,Stereo Speakers,12,8,Wi-Fi 6E+ HE160 +MIMOBluetooth 5.2NFCGoogle CastDual-bandGNSS(GPS/GLONASS/Galileo/QZSS)USB-C3.2,IP68
Xiaomi,Redmi 10 5g,14990,2G / 3G / 4G LTE / 5G,2022-03-02,Android 13,MediaTekMT6833 Dimensity 700 5G(7nm),Octa-core (2x2.2GHz Cortex-A76 & 6x2GHz Cortex-A55),Mali-G57 MC2,8,128,Dual SIM,5000,18.0,6.58,IPS LCD,60,Loudspeaker,50,5,"USB Type-C2.0Wi-Fi802.11 a/b/g/n/ac,dual-band,Wi-Fi Direct,hotspotBluetooth 5.1, A2DP, LEA-GPS, GLONASS, BDS, GALILEO (exceptPoco M4 5G)",IP53
Xiaomi,Redmi 10 A,7499,2G / 3G / 4G LTE,2022-03-29,Android 11,MediaTekMT6762G Helio G25(12 nm),Octa-core (4x2.0 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53),PowerVR GE8320,8,128,Dual SIM,10000,50.0,6.53,IPS LCD,60,Loudspeaker,13,5,"Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct, hotspotBluetooth	5.0, A2DP, LEGPS, A-GPS, GLONASS, BDS",IP53
Xiaomi,Redmi 10 C,13990,2G / 3G / 4G LTE,2022-03-17,Android 13,Snapdragon680 4G (6nm),Octa-core (4x2.4 GHz Kryo 265 Gold & 4x1.9 GHz Kryo 265 Silver),Adreno610,8,256,Dual SIM,5000,18.0,6.71,IPS LCD,60,Loudspeaker,50,5,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspotBluetooth 5.0, A2DP, LEGPSGPS, A-GPS, GLONASS, BDS, GALILEO",IP53
Xiaomi,Redmi 12 C,8280,2G / 3G / 4G LTE,2023-01-01,Android 12,Mediatek Helio G85 (12nm),Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC2,6,128,Dual SIM,5000,10.0,6.71,IPS LCD,60,Loudspeaker,50,5,"Wi-Fi802.11 a/b/g/n/ac,dual-band,Wi-Fi DirectBluetooth5.1, A2DP, LE",None
Xiaomi,Redmi A1,5999,2G / 3G / 4G LTE,2022-09-09,Android 12,MediaTekMT6761 Helio A22 (12nm),Quad-core 2.0 GHz Cortex-A53,PowerVR GE8320,4,32,Dual SIM,5000,10.0,6.52,IPS LCD,60,Stereo Speakers,12,5,"Wi-Fi 802.11 a/b/g/n, hotspotBluetooth 5.0, A2DP, LE",None
Xiaomi,Redmi K50,27990,2G / 3G / 4G LTE / 5G,2022-03-17,Android 13,K50:MediaTek Dimensity 8100 (5 nm)K50G/POCO F4 GT:Snapdragon8 Gen 1 (4 nm)K50 Pro:MediaTek Dimensity 9000 (4 nm)K50i:MediaTek Dimensity 8100 (5 nm),K50:Octa-core (4x2.85 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55)K50G/POCO F4 GT:Octa-core (1x3.00 GHz Cortex-X2 & 3x2.50 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510)K50 Pro:Octa-core (1x3.05 GHz Cortex-X2 & 3x2.85 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510)K50i:Octa-core (4x2.85 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),K50:Mali-G610K50G/Poco F4 GT:Adreno 730K50 Pro:Mali-G710 MC10K50i:Mali-G610 MC6,12,512,Dual SIM,5500,120.0,6.67,OLED,120,Stereo Speakers,48,20,"Wi-Fi802.11 a/b/g/n/ac/6,dual-band,Wi-Fi Direct,hotspotBluetooth 5.3, A2DP, LEA-GPS. Up to tri-band: GLONASS, BDS, GALILEO, QZSS, NavIC",IP53
Xiaomi,Redmi K60,29790,2G / 3G / 4G LTE / 5G,2023-01-01,Android 13,K60/POCO F5 Pro:Qualcomm Snapdragon8+ Gen 1 (4 nm)K60 Pro:Qualcomm Snapdragon 8 Gen 2 (4 nm)K60E:MediaTekDimensity 8200 (4 nm),K60/POCO F5 Pro:Octa-core (1x3.0 GHz Cortex-X2 & 3x2.5 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510)K60 Pro:Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510)K60E:Octa-core (1x3.1 GHz Cortex-A78 & 3x3.0 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),K60/POCO F5 Pro:Adreno730K60 Pro:Adreno740K60E:Mali-G610 MC6,16,512,Dual SIM,5500,120.0,6.67,OLED,120,Stereo Speakers,64,16,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi DirectBluetooth	5.3, A2DP, LE. 
Wi-Fi 7 for K60 Pro",IP53
Xiaomi,Redmi Note 11,13499,2G / 3G / 4G LTE / 5G,2021-10-28,Android 13,11:Qualcomm Snapdragon680 4G (6 nm)11S/Poco M4 Pro/11 Pro:MediatekHelio G96 (12 nm)11 Pro 5G/11E Pro/11 Pro+ (India)/Poco X4 Pro 5G:Qualcomm Snapdragon695 5G (6 nm)11 5G/11S 5G/Poco M4 Pro 5G:MediaTekDimensity 810 (6 nm)11 Pro (China)/11 Pro+/Xiaomi 11i/11i HyperCharge:MediaTek Dimensity 920 5G (6 nm),11:Octa-core (4x2.4 GHz Kryo 265 Gold & 4x1.9 GHz Kryo 265 Silver)11S/Poco M4 Pro/11 Pro:Octa-core (2x2.05 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55)11 5G/11S 5G/Poco M4 Pro 5G:Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55)11 Pro 5G/11E Pro/11 Pro+ (India)/Poco X4 Pro 5G:Octa-core (2x2.2 GHz Kryo 660 Gold & 6x1.7 GHz Kryo 660 Silver)11 Pro (China)/11 Pro+/Xiaomi 11i/11i HyperCharge:Octa-core (2x2.5 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),11:Adreno61011 5G/11S/11S 5G/Pro/Poco M4 Pro/M4 Pro 5G:Mali-G57 MC211 Pro 5G/11E Pro/11 Pro+ (India)/Poco X4 Pro 5G:Adreno61911 Pro (China)/11 Pro+/Xiaomi 11i:Mali-G68 MC4,8,256,Dual SIM,5000,120.0,6.43,AMOLED,90,Loudspeaker,50,13,"Wi-Fi802.11 a/b/g/n/ac,dual-band,Wi-Fi Direct,hotspotBluetooth 5.0, A2DP, LEA-GPS, GLONASS, BDS, GALILEO",IP53
Xiaomi,Redmi Note 12,12499,2G / 3G / 4G LTE / 5G,2022-11-01,Android 13,Note 12:Qualcomm Snapdragon685 (6 nm)Note 12 5G/12R Pro:Qualcomm Snapdragon4 Gen 1 (6 nm)Note 12 Pro 5G/Pro+/Explorer:MediaTek Dimensity 1080 (6 nm)Poco X5:Qualcomm Snapdragon 695 (6 nm)Note 12 Pro Speed/Poco X5 Pro:Qualcomm Snapdragon 778G (6 nm)Note 12 Turbo/Poco F5:Qualcomm Snapdragon 7+ Gen 2 (4 nm)Note 12T Pro:MediaTek Dimensity 8200 Ultra (4 nm),Note 12:Octa-core (4x2.8 GHz Kryo 265 Gold & 4x1.9 GHz Kryo 265 Silver)Note 12 5G/12R Pro:Octa-core (2x2.0 GHz Cortex-A78 & 6x1.8 GHz Cortex-A55)Note 12 Pro 5G/Pro+/Discovery:Octa-core (2x2.6 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55)Poco X5:Octa-core (2x2.2 GHz Kryo 660 Gold & 6x1.7 GHz Kryo 660 Silver)Note 12 Pro Speed/Poco X5 Pro:Octa-core (1x2.4 GHz Cortex-A78 & 3x2.2 GHz Cortex-A78 & 4x1.9 GHz Cortex-A55)Note 12 Turbo/Poco F5:Octa-core (1x2.91 GHz Cortex-X2 & 3x2.49 GHz Cortex-A710 & 4x1.8 GHz Cortex-A510)Note 12T Pro:Octa-core (1x3.1 GHz Cortex-A78 & 3x3.0 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Note 12:Adreno610Note 12 5G/12R Pro/Poco X5:Adreno619Note 12 Pro 5G/Pro+/Discovery:Mali-G68 MC4Note 12 Pro Speed/Poco X5 Pro:Adreno642LNote 12 Turbo/Poco F5:Adreno725Note 12T Pro:Mali-G610 MC6,16,512,Dual SIM,5000,210.0,6.67,OLED,120,Stereo Speakers,50,13,"Wi-Fi 802.11 a/b/g/n/ac/6 (except Note 12/5G/12R Pro/Poco X5), dual-band, Wi-Fi Direct, hotspotBluetooth 5.0 (Note 12), 5.1 (Note 12 5G/12R Pro/Poco X5), 5.2, 5.3 (Note 12 Turbo/12T Pro/Poco F5), A2DP, LE",IP53
Asus,ROG Phone 6,71999,2G / 3G / 4G LTE / 5G,2022-07-13,Android 12,Qualcomm Snapdragon8+ Gen 1 (4 nm),Octa-core (1x3.19 GHz Cortex-X2 & 3x2.75 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510),Adreno730,16,512,Dual SIM,6000,65.0,6.7,OLED,165,Stereo Speakers,50,12,"Wi-Fi 802.11 a/b/g/n/ac/6e, tri-band, Wi-Fi Direct, hotspotBluetooth 5.2, A2DP, LE, aptX HD, aptX Adaptive",IPX4
Samsung,Samsung Galaxy A04,11999,2G / 3G / 4G LTE,2022-08-24,Android 12,A04/A04e:MediaTek Helio P35 (12nm)A04s:Exynos 850 (8nm),A04/A04e:Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53)A04s:Octa-core (4x2.0 GHz Cortex-A55 & 4x2.0 GHz Cortex-A55),A04:PowerVR GE8320A04s:Mali-G52,8,128,Dual SIM,5000,15.0,6.5,IPS LCD,60,Loudspeaker,50,5,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspotBluetooth	5.0, A2DP, LE",None
Samsung,Samsung Galaxy A13,13999,2G / 3G / 4G LTE / 5G,2022-03-04,Android 12,MediaTekMT6833 Dimensity 700 5G,LTE:Octa-core (2.2 GHz & 2.0 GHz)LTE SM-A137F UND A137 Octa-core(MEDIATEK HELIO G80)5G:ARM Cortex-A76 MP2 2.2 GHzARM Cortex-A55 MP6 2 GHz,ARM Mali-G57 MC2 950 MHz,6,128,eSIM,5000,15.0,6.6,IPS LCD,90,Loudspeaker,50,8,"Wi-Fi802.11 a/b/g/n/ac,dual-band,Wi-Fi Direct,hotspotBluetooth 5.0, A2DP, LEA-GPS, GLONASS, GALILEO, BDS",None
Samsung,Samsung Galaxy A23,14499,2G / 3G / 4G LTE,2022-03-04,Android 13,A23:Qualcomm Snapdragon680 4G (6 nm)A23 5G:Qualcomm Snapdragon 695 5G (6 nm),A23:Octa-core (4x2.4 GHz Kryo 265 Gold & 4x1.9 GHz Kryo 265 Silver)A23 5G:Octa-core (2x2.2 GHz Kryo 660 Gold & 6x1.7 GHz Kryo 660 Silver),A23:Adreno610A23 5G:Adreno619,6,128,Dual SIM,5000,25.0,6.6,IPS LCD,90,Loudspeaker,50,12,"Wi-Fi802.11 a/b/g/n/ac,dual-band,Wi-Fi Direct,hotspotBluetooth 5.0, A2DP, LEA-GPS, GLONASS, GALILEO, BDS",None
Samsung,Samsung Galaxy A33 5g,27900,2G / 3G / 4G LTE / 5G,2022-03-17,Android 13,Exynos1280 (5 nm),Octa-core (2x2.4 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),Mali-G68,8,256,Dual SIM,5000,25.0,6.4,AMOLED,120,Loudspeaker,48,13,"Wi-Fi802.11 a/b/g/n/ac,dual-band,Wi-Fi Direct,hotspotBluetooth 5.1, A2DP, LEA-GPS, GLONASS, GALILEO, BDS",IP67
