Manufacturer,Name,Price (in Rupees),Compatible networks,Release Date,OS,Chipset,CPU,GPU,Memory (in GB),Storage (in GB),SIM,Battery (in mAh),Charging (in Watts),Display Size (in Inches),Display Type,Refresh Rate,Sound,Rear Camera (in MP),Front Camera (in MP),Connectivity,Water resistance
Samsung,Samsung Galaxy A54 5g,35000,2G / 3G / 4G LTE / 5G,2023-03-24,Android 13,Exynos1380 (5 nm),Octa-core (4x2.4 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G68 MP5,8,256,eSIM,5000,25.0,6.4,AMOLED,120,Stereo Speakers,50,32,"Wi-Fi 6802.11 a/b/g/n/ac/ax 2.4G-5GHz,dual-band,Wi-Fi Direct,hotspotBluetooth 5.1, A2DP, LEA-GPS, GLONASS, GALILEO, BDS",IP67
Samsung,Samsung Galaxy F04,6999,2G / 3G / 4G LTE,2023-01-12,Android 13,Mediatek MT6765 Helio P35 (12nm),Octa-core (4x2.35 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),PowerVR GE8320,4,64,Dual SIM,5000,15.0,6.5,IPS LCD,60,Loudspeaker,13,5,"Wi-Fi 802.11 b/g/n, Wi-Fi DirectBluetooth 5.0, A2DP, LE",None
Samsung,Samsung Galaxy M14 5g,13380,2G / 3G / 4G LTE / 5G,2023-03-23,Android 13,Exynos1330 (5nm),Octa-core (2x2.4 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),Mali-G68 MP2,6,128,Dual SIM,6000,25.0,6.6,IPS LCD,90,Loudspeaker,50,13,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi DirectBluetooth	5.2, A2DP, LE",None
Samsung,Samsung Galaxy M54 5g,37999,2G / 3G / 4G LTE / 5G,2023-03-22,Android 13,Exynos1380 (5 nm),Octa-core (4x2.4 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G68 MP5,8,256,Dual SIM,6000,25.0,6.7,AMOLED,90,Loudspeaker,108,32,"Wi-Fi802.11 a/b/g/n/ac,dual-band,Wi-Fi Direct,hotspotBluetooth 5.2, A2DP, LEA-GPS, GLONASS, GALILEO, BDS",None
Samsung,Samsung Galaxy S23,74999,2G / 3G / 4G LTE / 5G,2023-02-01,Android 13,Qualcomm Snapdragon8 Gen 2 for Galaxy (4 nm),Octa-Core (1x3.36Â GHz Cortex-X3 & 2x2.8Â GHz Cortex-A715 & 2x2.8Â GHz Cortex-A710 & 3x2.0Â GHz Cortex-A510),Adreno740 @ 719 Mhz,12,1000,eSIM,3900,45.0,6.1,Super AMOLED,120,Stereo Speakers,50,12,"Wi-Fi 802.11 a/b/g/n/ac/ax/be/7, dual-band,Wi-Fi Direct,hotspotBluetooth 5.3, A2DP, LE",IP68
Samsung,Samsung Galaxy Z Flip 5,99999,2G / 3G / 4G LTE / 5G,2023-02-01,Android 13,Qualcomm Snapdragon8 Gen 2 for Galaxy (4 nm),Octa-core (1x3.36 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),Adreno740,8,512,eSIM,7000,25.0,6.7,AMOLED,120,Stereo Speakers,12,10,"Wi-Fi802.11 a/b/g/n/ac/6,tri-band,Wi-Fi DirectBluetooth5.3, A2DP, LE",IPX8
Samsung,Samsung Galaxy Z Fold 5,154999,2G / 3G / 4G LTE / 5G,2023-02-01,Android 13,Qualcomm Snapdragon8 Gen 2 for Galaxy (4 nm),Octa-core (1x3.36 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),Adreno740,12,512,eSIM,4400,25.0,7.6,AMOLED,120,Stereo Speakers,50,4,"Wi-Fi 802.11 a/b/g/n/ac/6e/7, tri-band, Wi-Fi DirectBluetooth	5.3, A2DP, LE, aptX HD",IPX8
Sony,Sony Xperia 1 V,114790,2G / 3G / 4G LTE / 5G,2023-05-11,Android 13,Qualcomm Snapdragon8 Gen 2 (SM8550-AB),"Octa-core,4Â nm (4LPE)1x 3.20Â GHzKryo Prime(ARM Cortex-X3-based)4x 2.80Â GHzKryo Gold(2Ã—ARM Cortex-A715, 2Ã—ARM Cortex-A710-based)3x 2.0Â GHzKryo Silver(ARM Cortex-A510-based)",Adreno740,16,512,eSIM,4500,25.0,6.5,OLED,120,Stereo Speakers,52,12,"Wi-Fi802.11 a/b/g/n/ac/ax (2.4/5GHz)Bluetooth 5.3USB-CNFCGPSwithAssisted GPSGalileoGLONASSBeiDouMobile FeliCa/Osaifu-Keitai(XQ-DQ44, SO-51D, SOG10 and A301SO models only)",IPX8
Tecno,Tecno Camon 20,14999,2G / 3G / 4G LTE / 5G,2023-05-09,Android 13,Camon 20:MediaTek Helio G85Camon 20 Pro:MediaTek Helio G99Camon 20 Pro 5G and Camon 20 Premier 5G:MediaTek Dimensity 8050,"Camon 20: Octa-core, (2Ã—2.0Â GHzCortex-A75& 6Ã—1.8Â GHzCortex-A55)Camon 20 Pro: Octa-core, (2Ã—2.2Â GHzCortex-A76& 6Ã—2.0Â GHzCortex-A55)Camon 20 Pro 5G and Camon 20 Premier 5G: Octa-core, (1Ã—3.0Â GHzCortex-A78& 3Ã—2.6Â GHzCortex-A78& 4Ã—2.0Â GHzCortex-A55)","Mali-G52 MC2,Mali-G57 MC2,Mali-G77 MC9",8,512,eSIM,4500,45.0,6.67,AMOLED,120,Loudspeaker,64,32,"USB-C2.0Wi-Fi 802.11a/b/g/n/ac, dual-bandBluetooth 5.2, A2DP, LE",IP53
Tecno,Tecno Spark 10,9999,2G / 3G / 4G LTE / 5G,2023-03-13,Android 13,Spark 10C:UNISOC T606Spark 10:MediaTek Helio G85Spark 10 Pro:MediaTek Helio G88Spark 10 5G:MediaTek Dimensity 6020,"Spark 10C: Octa-core, (2Ã—1.6Â GHzCortex-A75& 6Ã—1.6Â GHzCortex-A55)Spark 10 and Spark 10 Pro: Octa-core, (2Ã—2.0Â GHzCortex-A75& 6Ã—1.8Â GHzCortex-A55)Spark 10 5G: Octa-core, (2Ã—2.2Â GHzCortex-A76& 6Ã—2.0Â GHzCortex-A55)","Mali-G57 MC1,Mali-G52 MC2,Mali-G57 MC2",8,256,eSIM,4500,18.0,6.6,IPS LCD,90,Loudspeaker,16,12,Bluetooth 5.0Wi-Fi 802.11b/g/n,IP53
Xiaomi,Xiaomi 13,47000,2G / 3G / 4G LTE / 5G,2022-12-11,Android 13,13/13 Pro:Qualcomm Snapdragon8 Gen 2 (4 nm)13 Lite:Qualcomm Snapdragon7 Gen 1 (4 nm),13/13 Pro:Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510)13 Lite:Octa-core (1x2.4 GHz Cortex-A710 & 3x2.36 GHz Cortex-A710 & 4x1.8 GHz Cortex-A510),13/13 Pro:Adreno74013 Lite:Adreno644,12,512,Dual SIM,4500,120.0,6.36,AMOLED,120,Stereo Speakers,50,32,"Wi-Fi 802.11 a/b/g/n/ac/6 or 6e (market dependent), dual-band, Wi-Fi DirectBluetooth 5.2, A2DP, LE",IP53
Asus,Asus ZenFone 8,44990,2G / 3G / 4G LTE / 5G,2021-05-12,Android 11,Qualcomm Snapdragon888 5G (5 nm),Octa-core (1x2.84 GHz Kryo 680 & 3x2.42 GHz Kryo 680 & 4x1.80 GHz Kryo 680),Adreno660,16,256,Dual SIM,4000,30.0,5.9,Super AMOLED,120,Loudspeaker,64,12,"Wi-Fi802.11 a/b/g/n/ac/6e, dual-band,Wi-Fi Direct,hotspotBluetooth5.2, A2DP, LE, aptX HD, aptX Adaptivedual-band A-GPS, GLONASS, GALILEO, BDS, QZSS, NavICNFC, FM radio",IP68
Xiaomi,Black Shark 4,39999,2G / 3G / 4G LTE / 5G,2021-03-30,Android 11,Black Shark 4/4S:Qualcomm Snapdragon870 5GBlack Shark 4 Pro:Qualcomm Snapdragon 888 5G (5 nm)Black Shark 4S Pro:Qualcomm Snapdragon 888+ 5G (5 nm),Black Shark 4/4S:Octa-core (1x3.2 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.80 GHz Kryo 585)Black Shark 4 Pro:Octa-core (1x2.84 GHz Kryo 680 & 3x2.42 GHz Kryo 680 & 4x1.80 GHz Kryo 680)Black Shark 4S Pro:Octa-core (1x3.0 GHz Kryo 680 & 3x2.42 GHz Kryo 680 & 4x1.80 GHz Kryo 680,Black Shark 4/4S:Adreno650Black Shark 4 Pro/4S Pro:Adreno660,16,1000,Dual SIM,4500,120.0,6.67,Super AMOLED,144,Loudspeaker,48,20,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspotBluetooth 5.2, A2DP, LE, aptX HD, aptX Adaptive",IP68
FairPhone,Fairphone 4,44990,2G / 3G / 4G LTE / 5G,2021-09-30,Android 13,Qualcomm Snapdragon750G,Octa-core (1x2.84 GHz Kryo 680 & 3x2.42 GHz Kryo 680 & 4x1.80 GHz Kryo 680),Adreno660,8,256,Dual SIM,3905,45.0,6.3,IPS LCD,60,Loudspeaker,48,25,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspotBluetooth 5.2, A2DP, LE, aptX HD, aptX Adaptive",IP53
Huawei,Huawei Mate X2,204999,2G / 3G / 4G LTE / 5G,2021-02-25,HarmonyOS 2,Kirin 9000 5G(5nm),Octa-core (1x3.13 GHz Cortex-A77 & 3x2.54 GHz Cortex-A77 & 4x2.05 GHz Cortex-A55),Mali-G78 MP24,8,512,Dual SIM,4500,55.0,,OLED,90,Stereo Speakers,50,16,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspotBluetooth 5.2, A2DP, LE, aptX HD, aptX Adaptive",IP53
Huawei,Huawei Nova 8,37000,2G / 3G / 4G LTE / 5G,2021-08-05,Android 11,Nova 8:Kirin 820E (7nm)Nova 8 5G:Kirin 985 5G (7 nm),Nova 8:Hexa-core (3x2.22 GHz Cortex-A76 & 3x1.84 GHz Cortex-A55)Nova 8 5G:Octa-core (1x2.58 GHz Cortex-A76 & 3x2.40 GHz Cortex-A76 & 4x1.84 GHz Cortex-A55),Nova 8:Mali-G57 (6-core)Nova 8 5G:Mali-G77 (8-core),8,256,Dual SIM,3800,66.0,6.57,OLED,90,Loudspeaker,64,32,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspotBluetooth 5.0, A2DP, LEA-GPS, GLONASS, BDS, GALILEO, QZSS",IP53
Huawei,Huawei Nova 9,34000,2G / 3G / 4G LTE / 5G,2021-09-23,HarmonyOS 2,Snapdragon778G 4G (6 nm),Octa-core (4x2.4 GHz Kryo 670 & 4x1.8 GHz Kryo 670),Adreno642L,8,256,Dual SIM,4300,66.0,6.57,OLED,90,Loudspeaker,50,32,"Wi-Fi802.11 a/b/g/n/a/6,dual-band,Wi-Fi Direct,hotspotBluetooth 5.2, A2DP, LE",IP53
Huawei,Huawei P 50,51000,2G / 3G / 4G LTE,2021-12-04,HarmonyOS 2,HiSilicon Kirin 9000Qualcomm Snapdragon 888 4G,"Octa-coreKirin 9000(1x 3.13Â GHzCortex A77, 3x 2.54Â GHzCortex A77, 4x 2.05Â GHzCortex-A55)Snapdragon 888 4G(1x 2.84Â GHzCortex X1, 3x 2.42Â GHzCortex A78, 4x 1.80Â GHzCortex-A55)",Kirin 9000Mali-G78 MP24Snapdragon 888 4GAdreno 660,16,512,Nano-SIM,4100,66.0,6.5,OLED,120,Loudspeaker,50,12,"Wi-Fi,802.11a/b/g/n/ac/axwithWi-Fi Directsupport,BT5.1,BLE,USB Type C 3.1",IP68
Apple,iPhone 13,64900,2G / 3G / 4G LTE / 5G,2021-09-24,iOS 17.2,A15 Bionic,"Hexa-core(2x ""high-performance"" â€“ 3.23 GHz, Avalanche + 4x ""energy-saving"" Blizzard) â€“ 2.02 GHz",Apple-designed 4 core,6,512,eSIM,4500,20.0,6.1,Super Retina XDR OLED,60,Spatial Audio,12,12,"Wi-Fi 6(802.11ax),Bluetooth 5.0,Ultra-wideband(UWB)",IP68
Apple,iPhone 13 Mini,69900,2G / 3G / 4G LTE / 5G,2021-09-24,iOS 17.2,A15 Bionic,"Hexa-core(2x ""high-performance"" â€“ 3.23 GHz, Avalanche + 4x ""energy-saving"" Blizzard) â€“ 2.02 GHz",Apple-designed 4 core,6,512,eSIM,4500,20.0,5.4,Super Retina XDR OLED,60,Spatial Audio,12,12,"Wi-Fi 6(802.11ax),Bluetooth 5.0,Ultra-wideband(UWB)",IP68
Apple,iPhone 13 Pro,119900,2G / 3G / 4G LTE / 5G,2021-09-24,iOS 17.2,A15 Bionic,"Hexa-core(2Ã— ""high-performance"" Avalanche â€“ 3.23 GHz + 4Ã— ""energy-saving"" Blizzard â€“ 2.02 GHz)",Apple-designed 5 core,6,512,eSIM,4595,27.0,6.1,Super Retina XDR OLED,120,Spatial Audio,12,12,"Wiâ€‘Fi 6(802.11ax),Bluetooth 5.0,ultra-wideband(UWB)",IP68
Apple,iPhone 13 Pro Max,129900,2G / 3G / 4G LTE / 5G,2021-09-24,iOS 17.2,A15 Bionic,"Hexa-core(2Ã— ""high-performance"" Avalanche â€“ 3.23 GHz + 4Ã— ""energy-saving"" Blizzard â€“ 2.02 GHz)",Apple-designed 5 core,6,512,eSIM,4595,27.0,6.7,Super Retina XDR OLED,120,Spatial Audio,12,12,"Wiâ€‘Fi 6(802.11ax),Bluetooth 5.0,ultra-wideband(UWB)",IP68
Lenovo,Lenovo Legion Duel 2,42000,2G / 3G / 4G LTE / 5G,2021-04-08,Android 11,QualcommSnapdragon888,Octa-core (1x2.84Â GHz Kryo 680 & 3x2.42Â GHz Kryo 680 & 4x1.8Â GHz Kryo 680),QualcommAdreno660,16,512,Dual SIM,4500,90.0,6.92,AMOLED,90,Stereo Speakers,48,12,"Bluetooth 5.2Wi-Fia/b/g/n/ac/6A2DP, LE, aptX HD, aptX Adaptive",IP52
Motorola,Moto G 2021,14599,2G / 3G / 4G LTE / 5G,2021-01-13,Android 11,Qualcomm Snapdragon778G,Octa-core (1x2.84Â GHz Kryo 680 & 3x2.42Â GHz Kryo 680 & 4x1.8Â GHz Kryo 680),QualcommAdreno660,8,512,Dual SIM,4500,90.0,6.1,IPS LCD,60,Stereo Speakers,48,12,"Bluetooth 5.2Wi-Fia/b/g/n/ac/6A2DP, LE, aptX HD, aptX Adaptive",IP52
Motorola,Motorola Edge 2021,30000,2G / 3G / 4G LTE / 5G,2021-09-02,Android 11,Qualcomm Snapdragon778G,"Octa-core, (1x 2.4 GHz Kryo 670 Prime + 3x 2.2 GHz Kryo 670 Gold + 4x 1.9 GHz Kryo 670 Silver)",Adreno642L,8,256,Dual SIM,5000,30.0,6.8,IPS LCD,144,Loudspeaker,108,32,"2G EDGE, GPRS/3G HSPA, HSPA+/4G LTE, LTE+, 5G, Wi-Fi802.11a/b/g/n/ac/6e (2.4 & 5 GHz), dual-band, WiFi direct, hotspot,Bluetoothv5.2,A2DP, Low-energy",IP52
Motorola,Motorola Edge 20,24999,2G / 3G / 4G LTE / 5G,2021-08-16,Android 11,Edge 20 Lite:MediaTekDimensity 720Edge 20 Fusion: MediaTek Dimensity 800UEdge 20:Qualcomm Snapdragon778GEdge 20 Pro: Qualcomm Snapdragon 870,"Octa-core,Edge 20 Lite: (2x 2.0 GHzCortex-A76+ 6x 2.0 GHzCortex-A55)Edge 20 Fusion: (2x 2.4 GHz Cortex-A76 + 6x 2.0 GHz Cortex-A55)Edge 20: (1x 2.4 GHz Kryo 670 + 3x 2.2 GHz Kryo 670 + 4x 1.9 GHz Kryo 670)Edge 20 Pro: (1x 3.2 GHz Kryo 585 + 3x 2.42 GHz Kryo 585 + 4x 1.8 GHz Kryo 585)",Edge 20 Lite & Edge 20 Fusion:Mali-G57 MC3Edge 20:Adreno642LEdge 20 Pro: Adreno 650,16,256,Dual SIM,5000,30.0,6.7,OLED,120,Loudspeaker,108,32,"Wi-Fi802.11a/b/g/n/ac/6e (2.4 & 5 GHz), dual-band, WiFi direct, hotspot,Bluetoothv5.2,A2DP, Low-energy",IP52
Nokia,Nokia XR20,42999,2G / 3G / 4G LTE / 5G,2021-06-25,Android 13,QualcommSnapdragon480 5G,QualcommKryo460,Adreno619,6,128,Dual SIM,4500,18.0,6.67,AMOLED,90,Loudspeaker,48,12,â€¢ 3.5 mmTRRSheadphone jackâ€¢Bluetooth 5.1â€¢ USB 3.0 (5Â Gbit/s) viaUSB-Cportâ€¢Wiâ€‘Fi 6(802.11ax)â€¢2Gâ€¢3Gâ€¢4G LTEâ€¢5G,IP52
OnePlus,Oneplus 9,41999,2G / 3G / 4G LTE / 5G,2021-03-26,Android 11,Qualcomm Snapdragon 888(5Â nm),Octa-core (1x2.84 GHz Kryo 680 & 3x2.42 GHz Kryo 680 & 4x1.80 GHz Kryo 680),Adreno 660,12,256,Dual SIM,4500,65.0,6.55,AMOLED,120,Loudspeaker,48,16,â€¢ 3.5 mmTRRSheadphone jackâ€¢Bluetooth 5.1â€¢ USB 3.0 (5Â Gbit/s) viaUSB-Cportâ€¢Wiâ€‘Fi 6(802.11ax)â€¢2Gâ€¢3Gâ€¢4G LTEâ€¢5G,IP68
OnePlus,Oneplus Nord 2 5g,27999,2G / 3G / 4G LTE / 5G,2021-07-28,Android 11,MediaTekDimensity 1200,"Octa-core (1x 3.0GHzCortex-A78, 3x 2.6GHz Cortex-A78, 4x 2.0GHzCortex-A55)",Mali-G77 MC9,12,256,Dual SIM,4500,65.0,6.43,AMOLED,90,Stereo Speakers,48,12,"Bluetooth 5.2Wi-Fi802.11 a/b/g/n/ac/6A2DP, LE, aptX HD",IP68
OnePlus,Oneplus Nord N200 5g,17999,2G / 3G / 4G LTE / 5G,2021-06-25,Android 11,Qualcomm Snapdragon 480 (8 nm),Octa-core (2Ã—2.0 GHz Kryo 260 & 6Ã—1.8 GHz Kryo 260),Adreno 619,4,64,Dual SIM,5000,18.0,6.49,IPS LCD,60,Stereo Speakers,13,16,"Bluetooth 5.2Wi-Fi802.11 a/b/g/n/ac/6A2DP, LE, aptX HD",IP53
Oppo,Oppo Find X3,69999,2G / 3G / 4G LTE / 5G,2021-06-25,Android 11,Find X3 Lite:Qualcomm Snapdragon765GFind X3 Neo:Qualcomm Snapdragon865Find X3:Qualcomm Snapdragon870Find X3 Pro: Qualcomm Snapdragon888,"Octa-core,Find X3 Neo: (1x 2.84 GHz  Kryo 585 & 3x 2.42 GHz Kryo 585 & 4x 1.8 GHz Kryo 585)Find X3: (1x 3.2Â GHzKryo585 & 3x 2.42Â GHz Kryo 585 & 4x 1.8Â GHz Kryo 585)Find X3 Pro: (1x 2.84Â GHz Kryo 680 & 3x 2.42Â GHz Kryo 680 & 4x 1.8Â GHz Kryo 680)",Find X3 Lite:Adreno620Find X3 Neo:Adreno650Find X3:Adreno650Find X3 Pro:Adreno660,12,256,Dual SIM,4500,18.0,6.7,AMOLED,120,Stereo Speakers,48,12,"Bluetooth 5.2Wi-Fia/b/g/n/ac/6eA2DP, LE, aptX HD",IP53
Google,Pixel 5a,22999,2G / 3G / 4G LTE / 5G,2021-08-26,Android 13,Qualcomm Snapdragon765G,"Octa-core, (1Ã—2.4Â GHzKryo 475Prime & 1Ã—2.2Â GHz Kryo 475 Gold & 6Ã—1.8Â GHz Kryo 475 Silver)",Adreno620,6,128,eSIM,4680,18.0,6.34,OLED,90,Stereo Speakers,12,12,"Wi-Fi 5 (ac/n/g/b/a)2.4+ 5.0GHz,Bluetooth 5.0 + LE,NFC,GPS(GLONASS,Galileo,QZSS)",IP67
Google,Pixel 6,42999,2G / 3G / 4G LTE / 5G,2021-10-28,Android 13,Google Tensor,Octa-core (2x2.8Â GHzCortex-X1& 2x2.25Â GHzCortex-A76& 4x1.8Â GHzCortex-A55)[4],Mali-G78 MP20[5],12,512,eSIM,4500,23.0,6.4,OLED,120,Stereo Speakers,50,8,Wi-Fi 6E+ HE160 +MIMOBluetooth 5.2NFCGoogle CastDual-bandGNSS(GPS/GLONASS/Galileo/QZSS)USB-C3.1,IP68
Realme,Realme Narzo 30 Pro,19999,2G / 3G / 4G LTE / 5G,2021-02-24,Android 10,MediaTek Dimensity 800U,"Octa core (2.4 GHz, Quad core,Cortex A76+ 2 GHz, Quad core, Cortex A55)",Mali-G57 MC3,8,128,eSIM,4500,18.0,6.5,IPS LCD,90,Stereo Speakers,48,12,"Wi-Fi 5 (ac/n/g/b/a)2.4+ 5.0GHz,Bluetooth 5.0 + LE,NFC,GPS(GLONASS,Galileo,QZSS)",IP53
Xiaomi,Redmi 10,9299,2G / 3G / 4G LTE / 5G,2021-08-18,Android 13,MediaTekHelio G88 (12nm),Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC2,8,2000,Dual SIM,5000,18.0,6.5,IPS LCD,90,Stereo Speakers,50,12,"Wi-Fi802.11 a/b/g/n/ac, dual-band,Wi-Fi Direct,hotspotBluetooth 5.1, A2DP, LEA-GPS, GLONASS, GALILEO, BDSNFC (10/10 2022; market/region dependent), FM Radio",None
Xiaomi,Redmi K40,22490,2G / 3G / 4G LTE / 5G,2021-03-04,Android 13,K40/40S:QualcommSM8250-ACSnapdragon 870K40 Pro/Pro+: Qualcomm SM8350Snapdragon 888K40 Gaming:MediaTekDimensity 1200 5G,Octa-coreK40/40S/Poco F3/F4: (1x 3.2GHzKryo585 Prime â€“Cortex-A77derivative + 3x 2.42GHz Kryo 585 Gold â€“ Cortex-A77 derivative + 4x 1.8GHz Kryo 585 Silver â€“Cortex-A55derivative)K40 Pro/Pro+: (1x 2.84GHz Kryo 680 Prime â€“Cortex-X1derivative + 3x 2.42GHz Kryo 680 Gold â€“Cortex-A78derivative + 4x 1.8GHz Kryo 680 Silver â€“ Cortex-A55 derivative)K40 Gaming: (1x 3.0GHz Cortex-A78 + 3x 2.6GHz Cortex-A78 + 4x 2.0GHz Cortex-A55),K40/40S/Poco F3/F4:Adreno650K40 Pro/Pro+: Adreno 660K40 Gaming: Mali-G77 MC9,8,256,Dual SIM,4520,18.0,6.67,AMOLED,120,Stereo Speakers,48,20,"Wi-Fi 802.11a/b/g/n/6/6e (2.4 & 5GHz), dual-band, WiFi Direct, DLNA, hotspotBluetoothV5.1/5.2,A2DP, Low-energy,aptX-HD,NFC, USB 2.0 Type-C, Infrared Blaster, GNSS (A-GPS,GLONASS, GALILEO, BDS, QZSS, NAVIC)",None
